consejeria;unidad;periodo_control;media_empleados;tipo_fila;causa;computable_indice;situaciones_ausencia;jornadas_ausencia;indica1;indica2;valor_resumen;pagina;pdf_origen
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Asistir a consulta médica o asistencia sanitaria de carácter personal;True;1395.0;1337.0;1.9;10.68;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Enfermedad o accidente con incapacidad temporal;True;190.0;8315.0;11.84;66.43;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Enfermedad o accidente sin incapacidad temporal;True;265.0;381.0;0.54;3.04;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Accidente o enfermedad grave, hospitalización o intervención
quirúrgica ambulatoria de un familiar";True;470.0;815.0;1.16;6.51;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Acompañar a familiar a consulta médica o asistencia sanitaria;True;560.0;541.0;0.77;4.32;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Adopción, guarda con fines de adopción o acogimiento, tanto temporal
como permanente";True;0.0;0.0;0.0;0.0;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Asistir a reuniones de coordinación o acompañamiento a hijos o hijas
con discapacidad";True;0.0;0.0;0.0;0.0;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Asuntos particulares fraccionados;False;0.0;0.0;0.0;0.0;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Asuntos particulares fraccionados del año anterior;False;0.0;0.0;0.0;0.0;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Asuntos Particulares 2024;False;1179.0;2228.0;3.17;17.8;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Asuntos Particulares 2025;False;3140.0;4621.0;6.58;36.92;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Asuntos propios sin retribución;True;2.0;18.0;0.03;0.14;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Ausencia no justificable por permiso.;False;0.0;0.0;0.0;0.0;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Ausencia por emergencia familiar;True;5.0;4.0;0.01;0.03;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Colaboración en Programas de Cooperación y Ayuda Humanitaria, y
en Programas y Proyectos de Ayuda y Cooperación al Desarrollo";True;0.0;0.0;0.0;0.0;;1.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Comisión de servicios;False;735.0;1140.0;1.62;9.11;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Compensación horaria por servicios extraordinarios;False;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Cuidado de hijo o hija menor afectado por cáncer u otra enfermedad
grave";True;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Cuidado de un familiar de primer grado, cónyuge o pareja de hecho
por enfermedad muy grave";True;9.0;27.0;0.04;0.22;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Cumplir un deber inexcusable y deberes relacionados con la vida
familiar y laboral";True;103.0;98.0;0.14;0.78;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Desplazamiento previo en los casos de adopción o acogimiento
internacional";True;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Exámenes prenatales, técnicas de preparación al parto y sesiones e
informes en los casos de adopción, guarda con fines de adopción o
acogimiento";True;6.0;6.0;0.01;0.05;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Fallecimiento de un familiar;True;67.0;188.0;0.27;1.5;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Horas de Compensación 2024;False;4.0;4.0;0.01;0.03;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Horas de Compensación 2025;False;89.0;97.0;0.14;0.78;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Huelga legal;True;5.0;5.0;0.01;0.04;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Lactancia acumulada;True;3.0;44.0;0.06;0.35;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Lactancia (no acumulada);True;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Matrimonio o pareja de hecho;True;2.0;22.0;0.03;0.18;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Nacimiento de hijos o hijas prematuros u hospitalizados a
continuación del parto";True;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Nacimiento para la madre biológica;True;8.0;322.0;0.46;2.57;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Otras ausencias no contempladas;True;382.0;217.0;0.31;1.73;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Permiso parental para el cuidado de hijo, hija o menor acogido por
tiempo superior a un año, hasta que el menor cumpla 8 años";True;5.0;34.0;0.05;0.27;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Por razón de violencia de género sobre la mujer trabajadora;True;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;Práctica voluntaria de interrupción del embarazo;True;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
Consejería de Hacienda y Administración Pública;;01/01/2025 AL 31/12/2025;702;causa;"Progenitor diferente a la madre biológica por nacimiento, guarda con
fines de adopción, acogimiento o adopción";True;0.0;0.0;0.0;0.0;;2.0;Indice_absentismo01_01_2025-31_12_2025 (10).pdf
